,,,RA,,,,DEC,F60,,,,,,,F100,T,B,,M,
4,39,45.26,69.9385833333333,45,0,19.7,45.0054722222222,4.2892,4,39,45.63,45,0,15.7,21.657,23.0030665820091,7.63460027088481E-16,7.63460027088481,2.87383449189844E+028,2.87383449189844
4,39,45.27,69.938625,44,59,8.4,44.9856666666667,4.2874,4,39,45.27,44,59,0.5,22.295,22.8418601934892,7.30423310812499E-16,7.30423310812499,3.0024948378524E+028,3.0024948378524
4,39,45.29,69.9387083333333,44,57,41.3,44.9614722222222,4.4283,4,39,45.66,44,57,45.2,22.95,22.860243728875,7.34140324126276E-16,7.34140324126276,2.98568631490006E+028,2.98568631490006
4,39,28.61,69.8692083333333,45,12,0.1,45.2000277777778,4.895,4,39,28.99,45,11,56.1,23.261,23.3423753680266,8.36298640928891E-16,8.36298640928891,2.63487516505776E+028,2.63487516505776
4,39,29.02,69.8709166666667,45,10,33,45.1758333333333,4.6765,4,39,29.02,45,10,33,22.379,23.3026610459356,8.27539079662325E-16,8.27539079662325,2.66134019828077E+028,2.66134019828077
4,39,30.92,69.8788333333333,45,8,46.1,45.1461388888889,4.5661,4,39,30.92,45,8,50.1,21.875,23.2963732203203,8.26157945748683E-16,8.26157945748683,2.66403706272966E+028,2.66403706272966
4,39,30.94,69.8789166666667,45,7,34.8,45.1263333333333,4.4944,4,39,30.94,45,7,38.8,21.422,23.3252338000762,8.32510144739682E-16,8.32510144739682,2.64255019854441E+028,2.64255019854441
4,39,30.97,69.8790416666667,45,5,47.9,45.0966388888889,4.4026,4,39,30.97,45,5,51.9,21.287,23.2443865834991,8.14798899550316E-16,8.14798899550316,2.69821451437268E+028,2.69821451437268
4,39,32.12,69.8838333333333,45,4,32.7,45.07575,4.3017,4,39,32.49,45,4,32.7,21.224,23.1311342136163,7.90421889143857E-16,7.90421889143857,2.78014044763374E+028,2.78014044763374
4,39,32.52,69.8855,45,2,57.7,45.0493611111111,4.2249,4,39,32.52,45,2,53.7,21.178,23.0431591215423,7.7183206525078E-16,7.7183206525078,2.84543423526157E+028,2.84543423526157
4,39,34.41,69.893375,45,1,42.5,45.0284722222222,4.2351,4,39,34.41,45,1,38.6,21.158,23.061737461549,7.75732707882854E-16,7.75732707882854,2.82981368153303E+028,2.82981368153303
4,39,36.3,69.90125,45,0,7.5,45.0020833333333,4.2298,4,39,36.67,45,0,11.5,21.529,22.9589588882076,7.5432142974094E-16,7.5432142974094,2.90843195104019E+028,2.90843195104019
4,39,37.06,69.9044166666667,44,59,12.1,44.9866944444444,4.2931,4,39,37.06,44,59,12.1,21.965,22.9304695109748,7.48458671377912E-16,7.48458671377912,2.93021165915108E+028,2.93021165915108
4,39,36.71,69.9029583333333,44,57,56.9,44.9658055555556,4.4137,4,39,36.71,44,57,56.9,22.691,22.9041336923892,7.43066873391497E-16,7.43066873391497,2.95010321601525E+028,2.95010321601525
4,39,21.49,69.8395416666667,45,12,7.8,45.2021666666667,4.8534,4,39,21.49,45,12,7.8,23.2,23.3088862364452,8.28907999014769E-16,8.28907999014769,2.65849381952595E+028,2.65849381952595
4,39,20.41,69.8350416666667,45,10,16.8,45.1713333333333,4.7159,4,39,21.16,45,10,12.9,22.777,23.2505217806344,8.16133878948377E-16,8.16133878948377,2.69826274347642E+028,2.69826274347642
4,39,21.93,69.841375,45,8,57.7,45.1493611111111,4.5828,4,39,21.93,45,9,1.6,22.37,23.1909896918292,8.03242708118026E-16,8.03242708118026,2.74023337051894E+028,2.74023337051894
4,39,22.71,69.844625,45,7,30.6,45.1251666666667,4.5303,4,39,22.71,45,7,26.6,21.904,23.2445001384061,8.14823594876755E-16,8.14823594876755,2.69983955550808E+028,2.69983955550808
4,39,23.86,69.8494166666667,45,6,3.5,45.1009722222222,4.4334,4,39,23.86,45,5,59.6,21.419,23.2488319069893,8.15766025103519E-16,8.15766025103519,2.69527462942462E+028,2.69527462942462
4,39,23.89,69.8495416666667,45,4,28.5,45.0745833333333,4.3528,4,39,23.89,45,4,28.5,21.225,23.1968747024118,8.04510844904965E-16,8.04510844904965,2.73138268123777E+028,2.73138268123777
4,39,23.92,69.8496666666667,45,3,1.4,45.0503888888889,4.2217,4,39,23.92,45,3,1.4,21.279,23.0126927750354,7.65464464002559E-16,7.65464464002559,2.86916975342773E+028,2.86916975342773
4,39,25.08,69.8545,45,1,14.5,45.0206944444444,4.1647,4,39,25.08,45,1,18.4,21.109,22.9819932773891,7.59084506269547E-16,7.59084506269547,2.89137749236318E+028,2.89137749236318
4,39,26.22,69.85925,45,0,7.2,45.002,4.213,4,39,26.22,45,0,7.2,21.437,22.9606212554352,7.54664490194849E-16,7.54664490194849,2.90710443321711E+028,2.90710443321711
4,39,28.47,69.868625,44,59,15.8,44.9877222222222,4.2504,4,39,28.48,44,59,11.8,21.814,22.9135156256557,7.44984602970477E-16,7.44984602970477,2.94394329979717E+028,2.94394329979717
4,39,28.13,69.8672083333333,44,57,44.7,44.9624166666667,4.4069,4,39,28.13,44,57,44.7,22.602,22.9171912327565,7.45736843616163E-16,7.45736843616163,2.93931938625678E+028,2.93931938625678
4,39,12.51,69.802125,45,11,39.7,45.1943611111111,4.8634,4,39,12.88,45,11,43.6,23.093,23.3467584097865,8.37269221022797E-16,8.37269221022797,2.63149081451096E+028,2.63149081451096
4,39,11.79,69.799125,45,10,20.4,45.1723333333333,4.7124,4,39,12.17,45,10,20.5,22.928,23.2092063053004,8.07172547137678E-16,8.07172547137678,2.72827959520582E+028,2.72827959520582
4,39,14.08,69.8086666666667,45,8,45.5,45.1459722222222,4.6501,4,39,14.08,45,8,41.5,22.61,23.2128988796421,8.07970730837117E-16,8.07970730837117,2.72399380075438E+028,2.72399380075438
4,39,14.86,69.8119166666667,45,7,10.5,45.1195833333333,4.5859,4,39,14.86,45,7,18.4,22.246,23.2259715210454,8.10800815540927E-16,8.10800815540927,2.71289907146568E+028,2.71289907146568
4,39,14.14,69.8089166666667,45,5,47.3,45.0964722222222,4.5265,4,39,14.14,45,5,43.3,22.044,23.2039896811056,8.0604584038397E-16,8.0604584038397,2.72750503974127E+028,2.72750503974127
4,39,16.04,69.8168333333333,45,4,28.2,45.0745,4.4754,4,39,16.04,45,4,24.2,21.718,23.2238935027773,8.10350497323906E-16,8.10350497323906,2.71169442521753E+028,2.71169442521753
4,39,16.45,69.8185416666667,45,3,1.1,45.0503055555556,4.3756,4,39,16.82,45,2,57.1,21.352,23.1927201042697,8.036154463393E-16,8.036154463393,2.7329532239189E+028,2.7329532239189
4,39,16.85,69.8202083333333,45,1,34,45.0261111111111,4.2783,4,39,16.86,45,1,26,21.275,23.0874397450418,7.81151205100435E-16,7.81151205100435,2.81003717248356E+028,2.81003717248356
4,39,19.87,69.8327916666667,45,0,14.9,45.0041388888889,4.3774,4,39,19.5,45,0,14.9,21.5,23.156377768378,7.95811841751901E-16,7.95811841751901,2.75692398970643E+028,2.75692398970643
4,39,19.89,69.832875,44,59,7.6,44.9854444444445,4.2776,4,39,19.89,44,59,11.5,21.874,22.9333978734067,7.4905985027891E-16,7.4905985027891,2.9277785824581E+028,2.9277785824581
4,39,20.66,69.8360833333333,44,58,4.2,44.9678333333333,4.4833,4,39,20.66,44,58,0.3,22.399,23.0614837936529,7.75679358317526E-16,7.75679358317526,2.82619719786678E+028,2.82619719786678
4,39,4.25,69.7677083333334,45,12,14.9,45.2041388888889,4.8192,4,39,4.63,45,12,18.9,23.283,23.2488096853214,8.15761188613334E-16,8.15761188613334,2.70145597844869E+028,2.70145597844869
